,ts_weekday,ts_day,ts_month
204,0,2,12.0
205,0,2,12.0
206,0,2,12.0
207,0,2,12.0
208,0,2,12.0
209,0,2,12.0
210,0,2,12.0
211,0,0,1.0
212,0,0,1.0
213,0,0,1.0
214,0,0,1.0
215,0,0,1.0
216,0,0,1.0
217,0,0,1.0
218,0,0,1.0
219,0,0,1.0
220,0,0,1.0
221,1,0,1.0
222,1,0,1.0
223,1,0,1.0
224,0,0,1.0
225,0,0,1.0
226,0,0,1.0
227,0,0,1.0
228,0,1,1.0
229,0,1,1.0
230,0,1,1.0
231,0,1,1.0
232,0,1,1.0
233,1,1,1.0
234,1,1,1.0
235,1,1,1.0
236,1,1,1.0
237,1,1,1.0
238,1,1,1.0
239,1,1,1.0
240,1,1,1.0
241,1,1,1.0
242,1,1,1.0
243,1,1,1.0
244,1,1,1.0
245,1,1,1.0
246,1,1,1.0
247,1,1,1.0
248,1,1,1.0
249,1,1,1.0
250,1,1,1.0
251,1,1,1.0
252,0,1,1.0
253,0,1,1.0
254,0,1,1.0
255,0,1,1.0
256,0,1,1.0
257,0,1,1.0
258,0,1,1.0
259,0,1,1.0
260,0,1,1.0
261,0,2,1.0
262,0,2,1.0
263,0,2,1.0
264,0,2,1.0
265,0,2,1.0
266,0,2,1.0
267,0,2,1.0
268,0,2,1.0
269,0,2,1.0
270,0,2,1.0
271,0,2,1.0
272,0,2,1.0
273,0,2,1.0
274,0,2,1.0
275,0,2,1.0
276,0,2,1.0
277,0,2,1.0
278,0,2,1.0
279,0,2,1.0
280,0,2,1.0
281,0,2,1.0
282,0,2,1.0
283,0,2,1.0
284,0,2,1.0
285,0,2,1.0
